acq_date,id,path,acq_method,description,program_type,sequence_name,ch_filenames,uv_filenames
2022-08-02 00:38:52,cap_woolies_med_roast,/Users/jonathan/0_jono_data/2022-08-01_CAFFEINE_QUANT_SEQ 2022-08-01 16-04-17.sequence/20220801_CAP_WOOLIES_MED_ROAST.D,CAF_UV_GRADIENT_4.6MM_52MIN.M,empty,sequence,2022-08-01_CAFFEINE_QUANT_SEQ 2022-08-01 16-04-17.sequence,"DAD1A.ch, DAD1B.ch, DAD1C.ch",
2022-08-02 00:38:52,cap_woolies_med_roast,/Users/jonathan/0_jono_data/2022_caffeine-quant-study/2022-08-01_CAFFEINE_QUANT_SEQ 2022-08-01 16-04-17.sequence/20220801_CAP_WOOLIES_MED_ROAST.D,CAF_UV_GRADIENT_4.6MM_52MIN.M,empty,sequence,2022-08-01_CAFFEINE_QUANT_SEQ 2022-08-01 16-04-17.sequence,"DAD1A.ch, DAD1B.ch, DAD1C.ch",
2022-08-01 23:45:22,cap_lor_ristretto,/Users/jonathan/0_jono_data/2022-08-01_CAFFEINE_QUANT_SEQ 2022-08-01 16-04-17.sequence/20220801_CAP_LOR_RISTRETTO.D,CAF_UV_GRADIENT_4.6MM_52MIN.M,empty,sequence,2022-08-01_CAFFEINE_QUANT_SEQ 2022-08-01 16-04-17.sequence,"DAD1A.ch, DAD1B.ch, DAD1C.ch",
2022-08-01 23:45:22,cap_lor_ristretto,/Users/jonathan/0_jono_data/2022_caffeine-quant-study/2022-08-01_CAFFEINE_QUANT_SEQ 2022-08-01 16-04-17.sequence/20220801_CAP_LOR_RISTRETTO.D,CAF_UV_GRADIENT_4.6MM_52MIN.M,empty,sequence,2022-08-01_CAFFEINE_QUANT_SEQ 2022-08-01 16-04-17.sequence,"DAD1A.ch, DAD1B.ch, DAD1C.ch",
2022-08-01 22:51:50,instant_nescafe_blend_43,/Users/jonathan/0_jono_data/2022_caffeine-quant-study/2022-08-01_CAFFEINE_QUANT_SEQ 2022-08-01 16-04-17.sequence/20220801_INSTANT_NESCAFE_BLEND_43.D,CAF_UV_GRADIENT_4.6MM_52MIN.M,empty,sequence,2022-08-01_CAFFEINE_QUANT_SEQ 2022-08-01 16-04-17.sequence,"DAD1A.ch, DAD1B.ch, DAD1C.ch",
2022-08-01 22:51:50,instant_nescafe_blend_43,/Users/jonathan/0_jono_data/2022-08-01_CAFFEINE_QUANT_SEQ 2022-08-01 16-04-17.sequence/20220801_INSTANT_NESCAFE_BLEND_43.D,CAF_UV_GRADIENT_4.6MM_52MIN.M,empty,sequence,2022-08-01_CAFFEINE_QUANT_SEQ 2022-08-01 16-04-17.sequence,"DAD1A.ch, DAD1B.ch, DAD1C.ch",
2022-08-01 21:58:22,caffeine_50_ppm,/Users/jonathan/0_jono_data/2022-08-01_CAFFEINE_QUANT_SEQ 2022-08-01 16-04-17.sequence/20220801_CAFFEINE_50PPM_GRADIENT.D,CAF_UV_GRADIENT_4.6MM_52MIN.M,empty,sequence,2022-08-01_CAFFEINE_QUANT_SEQ 2022-08-01 16-04-17.sequence,"DAD1A.ch, DAD1B.ch, DAD1C.ch",
2022-08-01 21:58:22,caffeine_50_ppm,/Users/jonathan/0_jono_data/2022_caffeine-quant-study/2022-08-01_CAFFEINE_QUANT_SEQ 2022-08-01 16-04-17.sequence/20220801_CAFFEINE_50PPM_GRADIENT.D,CAF_UV_GRADIENT_4.6MM_52MIN.M,empty,sequence,2022-08-01_CAFFEINE_QUANT_SEQ 2022-08-01 16-04-17.sequence,"DAD1A.ch, DAD1B.ch, DAD1C.ch",
2022-08-01 21:04:52,instant_moccona_classic,/Users/jonathan/0_jono_data/2022_caffeine-quant-study/2022-08-01_CAFFEINE_QUANT_SEQ 2022-08-01 16-04-17.sequence/20220801_INSTANT_MOCCONA_CLASSIC.D,CAF_UV_GRADIENT_4.6MM_52MIN.M,empty,sequence,2022-08-01_CAFFEINE_QUANT_SEQ 2022-08-01 16-04-17.sequence,"DAD1A.ch, DAD1B.ch, DAD1C.ch",
2022-08-01 21:04:52,instant_moccona_classic,/Users/jonathan/0_jono_data/2022-08-01_CAFFEINE_QUANT_SEQ 2022-08-01 16-04-17.sequence/20220801_INSTANT_MOCCONA_CLASSIC.D,CAF_UV_GRADIENT_4.6MM_52MIN.M,empty,sequence,2022-08-01_CAFFEINE_QUANT_SEQ 2022-08-01 16-04-17.sequence,"DAD1A.ch, DAD1B.ch, DAD1C.ch",
2022-08-01 20:11:20,instant_woolies_med_roast,/Users/jonathan/0_jono_data/2022_caffeine-quant-study/2022-08-01_CAFFEINE_QUANT_SEQ 2022-08-01 16-04-17.sequence/20220801_INSTANT_WOOLIES_MED_ROAST.D,CAF_UV_GRADIENT_4.6MM_52MIN.M,empty,sequence,2022-08-01_CAFFEINE_QUANT_SEQ 2022-08-01 16-04-17.sequence,"DAD1A.ch, DAD1B.ch, DAD1C.ch",
2022-08-01 20:11:20,instant_woolies_med_roast,/Users/jonathan/0_jono_data/2022-08-01_CAFFEINE_QUANT_SEQ 2022-08-01 16-04-17.sequence/20220801_INSTANT_WOOLIES_MED_ROAST.D,CAF_UV_GRADIENT_4.6MM_52MIN.M,empty,sequence,2022-08-01_CAFFEINE_QUANT_SEQ 2022-08-01 16-04-17.sequence,"DAD1A.ch, DAD1B.ch, DAD1C.ch",
2022-08-01 19:17:52,instant_nescafe_gold,/Users/jonathan/0_jono_data/2022_caffeine-quant-study/2022-08-01_CAFFEINE_QUANT_SEQ 2022-08-01 16-04-17.sequence/20220801_INSTANT_NESCAFE_GOLD.D,CAF_UV_GRADIENT_4.6MM_52MIN.M,empty,sequence,2022-08-01_CAFFEINE_QUANT_SEQ 2022-08-01 16-04-17.sequence,"DAD1A.ch, DAD1B.ch, DAD1C.ch",
